SKU,Name,Description,Price,Image
VIT-0002,21st Century chromium picolinate 200 mcg,,$20.00,VIT-0002.jpg
VIT-0004,21st Century one daily men,,$22.00,VIT-0004.jpg
VIT-0010,Advancis capilar gold,,$37.00,VIT-0010.jpg
VIT-0011,Advancis colicomfort,,$15.00,VIT-0011.jpg
VIT-0012,Advancis cough relief,,$12.00,VIT-0012.jpg
VIT-0014,Advancis extra slim,,$40.00,VIT-0014.jpg
VIT-0015,Advancis flexijoint max,,$29.00,VIT-0015.jpg
VIT-0017,Advancis flu relief,,$9.00,VIT-0017.jpg
VIT-0018,Advancis ginkgo biloba,,$16.00,VIT-0018.jpg
VIT-0019,Advancis hepax,,$12.90,VIT-0019.jpg
VIT-0020,Advancis immune defense,,$8.00,VIT-0020.jpg
VIT-0021,Advancis kids sirop with royal jelly,,$18.00,VIT-0021.jpg
VIT-0022,Advancis lipo,,$40.00,VIT-0022.jpg
VIT-0023,Advancis neuro,,$19.00,VIT-0023.jpg
VIT-0028,Advancis royal jelly,,$33.00,VIT-0028.jpg
VIT-0029,Advancis selenium ace D,,$20.00,VIT-0029.jpg
VIT-0031,Advancis throat relief,,$5.00,VIT-0031.jpg
VIT-0032,Alfa B2 50 mg,Supports energy production and may help prevent migraines by improving brain cell metabolism.,$20.50,VIT-0032.jpg
VIT-0033,Alfa Garlic odorless,"Healthy Heart, Regulates Blood Pressure Anti-microbial Good for sciatic nerve pain",$26.50,VIT-0033.jpg
VIT-0034,Alfa L glutamine 1000 mg,"The Alfa Sports supplement line offers a variety of products designed to support specific fitness objectives, including muscle growth, energy and resistance, and muscle building.",$30.30,VIT-0034.jpg
VIT-0035,Alfa L-Carnitine 800 mg,"The Alfa Sports supplement line offers a variety of products designed to support specific fitness objectives, including muscle growth, energy and resistance, and muscle building.",$32.00,VIT-0035.jpg
VIT-0036,Alfa apple cider vinegar,"For weight loss Anti-Obesity, Anti-diabetic, Anti-microbial",$22.50,VIT-0036.jpg
VIT-0037,Alfa biotin,"Beauty Supplement for Healthy Hair, Skin & Nails",$28.60,VIT-0037.jpg
VIT-0038,Alfa chromium picolinate 400 mcg,"Chromium Picolinate may aid weight loss, muscle gain, and support blood sugar, cholesterol, and bone health.",$20.00,VIT-0038.jpg
VIT-0039,Alfa cla,"The Alfa Sports supplement line offers a variety of products designed to support specific fitness objectives, including muscle growth, energy and resistance, and muscle building.",$47.00,VIT-0039.jpg
