SKU,Name,Description,Price,Image
AZ-001,Red Lentil Soup,,$11.00,AZ-001.png
AZ-002,Chicken Soup,,$12.00,AZ-002.png
AZ-003,Arnabeet Bi Tarator,Fried cauliflower with yogurt tahini sauce topped with toasted pine nuts.,$19.50,AZ-003.png
AZ-004,Arnabeet Mekle,Fried cauliflower marinated in authentic Lebanese herbs,$18.00,AZ-004.png
AZ-005,Batata Harra,"Sauteed spicy potato cubes with cilantro, garlic and red pepper flakes.",$16.00,AZ-005.png
AZ-006,Bemieh Bi Zait,"Fresh baby okra sautéed in extra virgin olive oil, tomatoes, garlic, cilantro",$17.00,AZ-006.png
AZ-007,Vegetable Crudites,Fresh vegetable sticks for dipping,$11.00,AZ-007.png
AZ-008,Fattet Al-Betanjane,"Eggplant, warm chickpeas, crispy pita chips smothered with garlic yogurt tahini sauce, sprinkled sun-dried cranberries,pomegranate seeds, pine nuts",$20.00,AZ-008.png
AZ-009,Fattoush Salad,"Greens, tomatoes, cucumbers, radish,onions, fresh mint, purslane, toasted pita points, lemon sumac vinaigrette",$16.00,AZ-009.png
AZ-010,Foul Medamas,"A blend of cooked fava beans, chickpeas,garlic, lemon juice, cumin, olive oil",$15.00,AZ-010.png
AZ-011,Labne,"Classic Levantine cream cheese, olive oil.",$17.00,AZ-011.png
AZ-012,Mudardara,Rice and lentils topped with caramelized onions.,$15.00,AZ-012.png
AZ-013,Marinated Beets,Topped with chevre,$16.00,AZ-013.png
AZ-014,Spicy Falafel,"Chickpeas, onions, capsicum peppers,cumin",$17.50,AZ-014.png
AZ-015,Sumac Fries,Hand-cut frites tossed in sumac and parsley,$10.00,AZ-015.png
AZ-016,Tabouli Salad,"Wheat bulgur mixed with fresh parsley, tomatoes, onions, mint, fresh lemon juice and olive oil.",$19.00,AZ-016.png
AZ-017,Traditional Falafel,"Made with chickpeas, onions, cumin and parsley.",$16.00,AZ-017.png
AZ-018,Waraa Enab Bi Zeit,"Hand rolled stuffed grape leaves with tangy tomato, parsley and rice stuffing",$18.00,AZ-018.png
AZ-019,Khodra,Assorted fresh vegetable plate,$13.00,AZ-019.png
AZ-020,Vegetarian Kibbeh Naye,"Sun-dried tomato, bulgur wheat & herbs tartare",$21.00,AZ-020.png
AZ-021,Raheb Salad,"Diced grilled eggplant, tomatoes, bell pepper, mint, green onion, lemon juice, olive oil",$14.00,AZ-021.png
AZ-022,Kousa Bi Zeit,"Stuffed zucchini with tangy tomato parsley,rice filling",$16.00,AZ-022.png
AZ-023,Loubieh Bi Zait,"Slow cooked French green beans,tomatoes, onions, garlic, olive oil",$17.00,AZ-023.png
AZ-024,Burgrul W Banadoura,Cooked bulgur wheat in a garlic tomato broth,$14.00,AZ-024.png
AZ-025,Kibbeh Zankliyeh,"Spiced bulgur wheat shell stuffed with Swiss chard, chickpeas",$16.00,AZ-025.png
AZ-026,Hummus Beiruty,"Puréed chickpeas, tahini, lemon juice, garlic,parsley topped with hot fava beans",$15.50,AZ-026.png
AZ-027,Hummus,Pureed chickpeas with tahini sauce and lemon juice.,$15.00,AZ-027.png
AZ-028,Baba Ghanoush,Char-grilled eggplant puree with tahini and fresh lemon juice.,$16.00,AZ-028.png
AZ-029,Hummus w Fitter,Hummus with seasoned sautéed mushroom and pine nuts,$18.50,AZ-029.png
AZ-030,Muhammara,A blend of spicy and sweet pepper with walnuts and pomegranate molasses.,$18.00,AZ-030.png
AZ-031,Spicy Hummus,Pureed chickpeas with tahini sauce and lemon juice mixed with capsicum.,$16.00,AZ-031.png
AZ-032,Jwaneh,"Grilled chicken wings marinated with garlic, olive oil, lemon",$17.50,AZ-032.png
AZ-033,Sambousik Lahme,"Hand crafted pastry pockets filled with minced ground beef, toasted pine nuts",$15.00,AZ-033.png
AZ-034,Hummus Bi Djaj,Hummus topped with marinated chicken and pine nuts.,$18.00,AZ-034.png
AZ-035,Hummus Bi Lahmeh,Our classic chickpea dip topped with sauteed diced lamb and pine nuts.,$19.50,AZ-035.png
